authors
"Muhammad, Ridla;Anuraga, Jayanegara;Rohmah, Umi Nikmatul"
"Ulfah, Maria;Mutia, Rita;Telaumbanua, Sukses"
"Afendi, Mochammad Farit;Masjkur, Mohammad;Lestari, Febie Tri"
"Wahyudi, Aris Tri;Wulandari, Dian Retno"
"Maddu, Akhiruddin;Indro, Muh Nur;Aviana, Elza"
"Darmawan, Noviyan;Mas'ud, Zainal Alim;Fitrianti, Febby"
"Prawasti, Taruni Sri;Atmowidi, Tri;Purnamasari, Dita"
"Safithri, Mega;Faridah, Didah Nur;Wedaswari, Ida Ayu Indah"
"Hasim;Husnawati;Fitriani, Febi Putri"
"Kartono, Agus;Putra, Adam Sukma;Ermawati, Erni"
"Prawasti, Taruni Sri;Priawandiputra, Windra;Ermayanti"
"Putri, Eka Intan Kumala;Pramudita, Danang;Sari, Devi Permata"
"Bahtiar, Rizal;Huwaida, Farah Faadhilah"
"Mulyati, Heti;Nadilah, Ditha Fortune"
"Slamet, Alim Setiawan;Dianti, Eka Kresno"
"Nurmalina, Rita;Mediana, Evelyn Widya"
"Maryono;Amir, Fahrizal"
"Rachmina, Dwi;Ermawati, Erwina"
"Esfandiari, Anita;Hadi, Upik Kesumawati;Homel, Sang Gelegar"
"Priosoeryanto, Bambang Pontjo;Fahrudin, Mokhamad;Harahap, Syarif Sultoni"
"Bahtiar, Rizal;Go, Riska Tezara"
"Trisyulianti, Erlin;Febyanti, Safitri Ayu"
"Purwanto, Budi;Hartati, Ragil Pri"
"Suprehatin;Fitriana, Rofikah"
"Priatna, Wahyu Budi;Octavin, Nalida Tera"
"Ali, Kalifah Muhammad;Qorieb, Nashrur Rahman"
"Adhi, Andriyono Kilat;Rahmah, Rifqi Alfiani"
"Damayanthi, Evy;Dwiriani, Cesilia Meti;Alamsah, Deni"
"Khomsan, Ali;Syarief, Hidayat;Adhyanti"
"Madduppa, Hawis;Prartono, Tri;Bramandito, Aditya"
"Effendi, Irzal;Budiardi, Tatag;Diatin, Iis;Verdian, Aldi Huda"
"Pane, Anwar Bey;Solihin, Iin;Rosalia, Ayang Armelita"
"Hermana, Widya;Astuti, Dewi Apri;Firdaus, Deden Jaelani"
"Hermana, Widya;Mutia, Rita;Bagaskara, Andika Surya"
"Arief, Irma Isnafia;Cyrilla, Lucia;Khasanah, Anisya Nur"
"Sukarno, Nampiah;Batubara;Sari, Mulya"
"Mubarik, Nisa Rachmania;Widanarni;Monafathia"
"Mulyani, Yeni Aryati;Kartono, Agus Priyono;Suwarti, Muji"
"Sukarno;Fardiaz, Dedi;Febriansyah, Muhammad Irfan"
"Sitorus, Santun RP;Pravitasari, Andrea Emma;Risal, Muhammad"
"Ulupi, Niken;Suryati, Tuti;Arifiantini, Raden Iis;Ariyanti, Ria"
"Ulupi, Niken;Murtini, Sri;Sumantri, Cece;Setyawati, Melly Pratiwi"
"Harianto;Suharno;Baharuddin, Nurfaisah"
"Kusrini, Mirza Dikari;Mardiastuti, Ani;Qayyim, Dzikri Ibnul"
"Hermowo, Jarwadi Budi;Sunarminto, Tutut;Anuari, Fitria"
"Batubara, Irmanida;Syafitri, Utami Dyah;Sapitri, Eka Winarni"
"Masy'ud, Burhanuddin;Ginoga, Lin Nuriah;Vesma, Belisa"
"Budi, Sri Wilarso;Prabowo, Bagas Adji"
"Muntasib, E.K.S. Harini;Kaswanto;Tryfani, Dita"
"Mardiastuti, Ani;Rahman, Dede Aulia;Damayanti, Dewi Novitri"
"Syarief, Rizal;Sutriyono, Agus;Aqmar, Marini Zatil"
"Djatna, Taufik;Iqbal, Muhammad Chairul"
"Anggraeni, Elisa;Agustianto, Rizqi"
"Purwanto, Y. Aris;Maulana, Novi Nursafitri"
"Ahmad, Usman;Ihsan, Muhammad"
"Sudibyo, Tri;Purnama, Satya Adi"
"Prastowo;Karlina, Nita"
"Pramuhadi, Gatot;Ibrahim, Muhammad Naufan Rais"
"Erizal;Amaliah, Rizka"
"Khumaida, Nurul;Ardie, Sintho Wahyuning;Syukur, Muhamad;Subekti, Isnani"
"Ardie, Sintho Wahyuning;l Khumaida, Nuru;Prameswari, Wuri"
"Wirnas, Desta;Trikoesoemaningtyas;Purnamawati, Heni;Jaisyurahman, Usamah"
"Sumertajaya, I Made;Syafitri, Utami Dyah;Adinugroho, Widyayanto"
"Soetarto, Endriatmo;Adiwibowo, Soeryo;Pakniany, Yamres"
"Wasis, Basuki;Hilwan, Iwan;Siregar, Yustika Fadilah"
"Sajuthi, Dondin;Sulistiawati, Erni;Rumlaklak, Yanse Yane"
"Sarma, Ma'mun;Falatehan, A Faroby;Haris, Wilaga Azman"
"Erizal;Widyarti, Mieske;Harini, Weni Mukti"
"Kusumastanto, Tridoyo;Osmaleli;Awanis, Nisa"
"Sinaga, Bonar M.;Hardjanto, Arini;Kurniasih, Semi"
"Mulyati, Heti;Roberto"
"Prabowo, Sigid;Alzahra, Windi;Alzamakhsyari, Lou Ayy"
"Suryawati, Rindah Febriana;Melanie"
"Khotijah, Lilis;Baihaqi, Muhamad;Darius Christian Ohee"
"Agus, Syamsul Bahri;Budhiman, Syarif;Aprillano, Varrenco Josye"
"Sarma, Ma'mun;Putri, Yunia Eka"
"Munibah, khursatul;Sudadi, Untung;Harimurti, Eko Fitriono"
"Nurrochmat, Dodik Ridho;Sundawati, Leti;Prasetyo, Haris"
"Buchori, Damayanti;Triwidodo, Hermanu;Najmi, Lailatun"
"Purwanto, Aris;Sutrisno;Saragih, Crismas Sri Rejeki"
"Basith, Abdul;Munandar, Jono M;Yanthi, Evy Rusmanida"
"Suryani, Ani;Suharjo, Budi;Sitorus, Friska"
"Siswadi;Bakhtiar, Toni;Novika, Fanny"
"Astuti, Dewi Apri;Wiryawan, Komang G;Hersade, Jonathan Julian"
"Yamin, Mohammad;Astuti, Dewi Apri;Ghozian, Thoriq Abdullah"
"Purba, Mulia;Atmadipoera, Agus Saleh;Simarmata, Thomas Angga Putra"
"Hadiroseyani, Yani;Effendi, Irzal;Ramdhani, Rakhmat"
"Atabany, Afton;Anggraeni, Anneke;Wahyudi, Tri"
"Atmadipoera, Agus Saleh;Khairunnisa, Zakiyah"
"Hardjito, Linawati;Azani, Zendara Beda"
"Rahman;Widanarni;Dhaneswara, Tanto"
"Prabowo, Sigid;Anggraeni, Anneke;Abdurrahman, Abyan"
"Andarwulan, Nuri;Giriwono, Puspo Edi;Oktaviany, Yeni"
"Syaukat, Yusman;Ismail, Ahyar;Suhadi, Ujang"
"Nuraida, Lilis;Budijanto, Slamet;Dewi, Fitriya Nur Annisa;Kurniati, Yeni"
"Nawangsih, Abdjad Asih;Mutaqin, Kikin Hamzah;Septiandari, Mitha"
"Adiwibowo, Soeryo;Sjaf, Sofyan;Bumulo, Sahrain"
"Ariyanti, Nunik Sri;Sulistijorini;Rizqiani, Sakina"
"Sugiyono;Wulandari, Nur;Hartono, Yulianto"
"Kartika, Juang Gema;Susila, Anas D;Tarigan, Hardi Satria"
"Sinaga, Bonar M;Hardjanto, Arini;Tarigan, Rallyanta"
"Djamaludin, Moh. Djemdjem;Sholihah, Mutiara Mar Atu"
"Agusta, Ivanovich;Wirastuti, Dwi"
"Fewidarto, Pramono Djoko;Yolanda, Vina"
"Krisnatuti, Diah;Adriana, Rizkyta"
"Krisnatuti, Diah;Rahayuningtias, Oktavia"
"Kartika, Lindawati;Septiani, Stevia;Indraswari, Retno"
"Kuncahyo, Budi;Setyaningsih, Erlina"
"Mansur, Irdika;Widiastuti, Lisa"
"Kusmana, Cecep;Syamsudin, Dzikry Lesmana"
"Hadi, Yusuf Sudo;Saifuddin, Dina Suryaning"
"Mansur, Irdika;Falashifa, Eriza"
"Arief, Harnios;Sunarminto, Tutut;Mahendra, Gusti"
"Wijayanto, Nurheni;Faturakhman, Hamzah"
"Muntasib, EKS Harini;Sunkar, Arzyana;Haq, Muhammad Asad Nuzulul"
"Hikmat, Agus;Hidayat, Syamsul;Nur'aini, Hanifah"
"Widayati, Kanthi Arum;Suryobroto, Bambang;Putri, Given Pautami Marthia"
"Kemala, Tetty;Asih, Indah Dwi"
"Widayati, Kanthi Arum;Suryobroto, Bambang;Seno, Galih Ario"
"Atmowidi, Tri;Priawandiputra, Windra;Oktaviani, Widia Bela"
"Kusuma, Wisnu Ananta;Adi, Muhammad Arief Kalbu"
"Kurniati, Mersi;Winarti, Christina;Puspita, Indah"
"Ruhiyat;Purnaba, I Gusti Putu;Yoanda, Jefry"
"Mangku, I Wayan;Erliana, Windiani;Wulandari, Gusti Putu Mutia"
"Sumiati;Wiryawan, Komang Gede;Nahrowi;Zainuddin"
"Tiuria, Risa;Wardhana, April Hari;Akbari, Rizal Arifin"
"Nuraida, Lilis;Dewanti-hariyadi, Ratih;Panjaitan, Raini"
"Sutrisno;Darmawati, Emmy;Hartono, Nofa Andriastuti Dewi"
"Munif, Abdul;Nawangsih, Abdjad Asih;Mursyalatiyus, Isnainy Dinul"
"Chikmawati, Tatik;Sulistijorini;Rukmana, Engka"
"Suyatma, Edhi Nugraha;Nurjanah, Siti;Handayasari, Faridah"
"Widyastuti, Rahayu;Santoso, Sugeng;Sulistyorini, Endang"
"Purnawarman, Trioso;Widaya, Lukman. Denny;Zelpina, Engki"
"Kusuma, Wisnu Ananta;Wahjuni, Sri;Yulianah"
"Astuti, Dewi Apri;Laconi, Erika B;Aidismen, Yulia Dwi Putri"
"udadi, Untung S;Anwar, Syaiful;Fauzan, Aufa Zinda"
"Sudadi, Untung;Anwar, Syaiful;Hanifa, Dalilah Farhan"
"Wahjunie, Enni Dwi;Baskoro, Dwi Putro Tejo;Guritno, Adhityo"
"Syartinilia;Rabbani, Ahsan"
"Noviana, Deni;Noviana, Deni;Dewi, Tri Isyani Tungga"
"Widajati, Eny;Nazara, Anugrah Triputra"
Sobir;Ainammardliyyah
"Gunanti;Purnawarman, Trioso;Perng, Lee"
"Mustika, Aulia Andi;Amrozi;Sakinah, Nabillah Ananda"
"Gunanti;Amin, Akhmad Arif;Hayati, Najma"
"Indrawati, Agustin;Afiff, Usamah;Ardi, Meylina Putri Santri"
"Satyaningtijas, Aryani Sismin;Santoso, Koekoeh;Naldi, Jefri"
"Satyaningtijas, Aryani Sismin;Maharani, Jeni"
"Aryani, Satyaningtijas Sismin;Elok, Retnani Budi;Irwan"
"Pasaribu, Fachriyan Hasmi;Manalu, Wasmen;Fitriani, Maulida"
"Darmawan, I Wayan;Nisak, Vina Khoirotun"
"Siregar, Iskandar Z;Sudrajat, Dede J;Ramdhani, Riki"
"Rusdiana, Omo;Prastyo, Zendy Putut"
"Hermawan, Wawan;Ariffudin, Achmad"
"Darmawan, I Wayan;Sari, Yayuk Astria Mutiara"
"Syaufina, Lailan;Yuniva, Rieskha"
"Rusdiana, Omo;Fatmala, Shinta"
"Santikayasa, Putu;Diva, Nola Clara"
Irzaman;Irmansyah;Novitri
"Taufik, Muhammad;Santikayasa, I Putu;Widyastuti, Marliana Tri"
"Santikayasa, I Putu;Taufik, Muh.;Syarifah, Mauludiyyatus"
"Astusi, Rika Indri;Wahyuni, Wulan Tri;Mala, Monica Ina Martha"
"Hermadi, Irman;Hartini, Novasari"
"Sari, Yessie Widya;Budiman, Ismail;Dewi, Nurul Mustika"
"Kusuma, Wisnu Ananta;Fajri, M. Raihan"
"Hidayat, Purnama;Agustina, Melinda"
"Suwarno;Nugroho, Budi;Purba, Ruth Kristanti"
"Syukur, Muhamad;Marwiyah, Siti;Dewi, Okky Tiara Sari"
"Surahman, Memen;Wiyono, Suryo;Rifka"
Hariyadi;Muliadin
"Hubeis, Musa;Sujatmiko, Galih"
"Priatna, Wahyu Budi;Setiawan, Hendry Indra"
"Joko, Purwono;Henmarwan, Guntur"
"Alimuddin;Maulana, Fajar;Prasetyo, Dani"
"Widanarni;Rahman;Putri, Farasma Nabila"
"Wisudo, Sugeng Hari;Wiyono, Eko Sri;Yulianti, Dewi"
"Nurani, Tri Wiji;Mustaruddin;Hermawan, Muhammad Riezky"
"Butet, Nurlisa A;Nurilmala, Mala;Meikasari, Nila Septi"
"Nurilmala, Mala;Abdullah, Asadatun;Astuti, Yuly"
"Jacoeb, Agoes M.;Abdullah, Asadatun;Dzikrullahiakbar, Naufal Nabil"
"Pane, Anwar Bey;Lubis, Ernani;Paramita, Putri Nirwana"
"Wijayanto, Hari;Sumertajaya, I Made;Utami, Budi"
"Wigena, Aji Hamim;Susetyo, Budi;Nurwida, Arni"
"Mulyono, Rini Herlina;Atabany, Afton;Novianti, Retna"
"Nuraini, Henny;Burhanuddin;Hanif, Muhammad Affan"
"Muladno;Syafitri, Utami Dyah;Hasanah, Nurul"
"Cyrilla, Lucia;Alzahra, Windi;Aini, Nur"
"Atabany, Afton;Praharani, Lisa;Aziz, Saik Abdul"
"Muladno;Syafitri, Utami Dyah;Istiqlal, Rahma Fadhila"
"Purnomo, Herry;Dewi, Sonya;Zulkarnain, Mukhammad Thoha"
"Satyaningtijas, Aryani Sismin;Novelina, Savitri;Ulfa, Nur Isnaini"
"Hernowo, Budi Jarwadi;Masyd, Burhanuddin;Ulumiyah, Nurul"
"Wientarsih, Ietje;Widhyari, Sus Derthi;Januar, Rahmawati"
"Aisyah, Syarifah Iis;Rahayu, Sri;Miranda, Putri Aria"
"Yuwono, Arief Sabdo;Arief, Chusnul;Kartika, Ruth"
"Setiawan, Budi;Palupi, Eny;Pertiwi, Listia Ayu"
"Sulistiawati, Asri;Setiadi, Maudita Restu"
"Winarto, Adi;Boediono, Arief;Astini, Wining"
"Jaya, I Nengah Surati;Ginting, Indah Suryani"
"Afendi, Farit M.;Alamud, Aam;Mohammad, Faisal Ali"
"Safithri, Mega;Faridah, Didah Nur;Ramadani, Fitri"
"Karlinasari, Lina;Priadi, Trisna;Perbani, Handang Tegar"
"Priantara, Fadillah Rachmah Nur"
"Damayanthi, Evy;Marliyati, Sri Anna;Nabila, Maryam"
"Hidayat, Aceng;Jaya, Aulia Islami"
"Nindyantoro;Osmaleli;Mukti, Auzan Cahya"
"Hamim;Hadisunarso;Hutagalung, Putri Nur'zizah"
"Triadiati;Hamim;Amalia, Rizka"
"Irzaman;Hardhienata, Hendradi;Ni'mah, Nadzifatun"
"Meryandini, Anja;Astuti, Rika Indri;Hidayah, Nur"
"Fariyanti, Anna;Putrisya, Audya Annisa"
"Pasaribu, Syamsul Hidayat;Asyari, Asya Kholil"
"Ermawati, Wita Juwita;Akbar, Azhari"
"Widanarni;Jusadi, Dedi;Giri, Nyoman Adiasmara;Astuti, Ni Wayan Widya"
"Perwitasari, Dyah;Mulyani, Yeni Aryati;Sahari, Bandung;Utari, Anindya Rizky"
"Sulistyaningsih, Yohana Caecilia;Dorly;Wijaya, Febrian Eka"
"Wahyuni, Wulan Tri;Saprudin, Deden;Fitriani, Aida"
"Kartono, Agus;Setiawan, Ardian Arif;Sari, Mulya"
"Artika, I Made;Panji, Tri;Ramadhan, Fanny Indra"
"Hadisunarso;Akmal, Hilda;Jaya, Indra"
"Adisantoso, Julio;Sholehah, Nida' Annisa"
"Kusumastanto, Tridoyo;Nababan, Benny Osta;Fadlilanissa, Alfi"
"Murdianto;Nabila, Fathiya"
"Adiwibowo, Soeryo;Fikriyyah, Dary Farah"
"Fatchiya, Anna;Hadzami, Bawani"
"Madanijah, Siti;Sukandar, Dadang;Sakdiah, Halimatus"
"Sukmawati, Anggraini;Kusumaningtyas, Desi"
"Kartika, Lindawati;Salam, Faisal Agus"
"Pradono, Dyah Iswantini;Batubara, Irmanida;Negara, Tangguh Perwira"
"Purnaningsih, Ninuk;Marcelina, Avitta"
"Yuliana, Nancy Dewi;Hunaefi, Dase;Indriani, Sylvia"
"Sunarti, Titi Candra;Sukardi;Welkom, Srikandi Julianingsih"
"Arpah, Muhammad;Abdurrasyid, Zaid"
"Hermanianto, Joko;Pratama, Saiful"
"Sulistiyani;Andrianto, Dimas;Hasanah, Ani Rizna Nur"
"Widyarti, Meiske;Fauzan, Muhammad;Ananda, Rizky Uno"
"Agustina, Sri Endah;Hasnan, Rimo"
"Suharjo, Budi;Sumarno, Hadi;Hidayati, Arini"
"Widiatmaka;Sudadi, Untung;Mahingsa, Galih Raka"
"Nelwan, Leopold Oscar;Yulianto, Muhamad;Rahimah, Fika"
"Sutrisno;Purwanto, Y Aris;Budiastra, I Wayan;Reinoso, Diego Mauricio Cano"
"Nuryati, Sri;Sukenda;Nugrahawati, Anis"
"Nurdiati, Sri;Sopaheluwakan, Ardhasena;Lealdi, Dedi"
"Kamal, M. Mukhlis;Sulistiono;Ismanto, Dhiyassalam Imam Anshori"
"Sianturi, Paian;Jaharuddin;Persulessy, Flaviana Priscilla"
"Priyanto, Rudy;Adnyane, I Ketut Mudite;Nuraini, Henny;Safitri, Aldina"
"Guritman, Sugi;Bukhari, Fahren;Huda, Miftahul"
"Zamani, Neviaty Putri;Suseno, Heny;Soedharma, Dedi;Prihatiningsih, Wahyu Retno"
"Sajuthi, Dondin;Astuti, Dewi Apri;Suparto, Irma H;Handharyani, Ekowati;Laila, Sri Rahmatul"
"Amanah, Siti;Asngari, Pang S;Fatchiya, Anna;Euriga, Epsi"
"Hidayat, Purnama;Rauf, Aunu;Maryana, Nina;Maharani, Yani"
"Fauzi, Akhmad;Pribadi, Eko S;Wijayanto, Hari;Setyowati, Ririn"
"Sumardjo;Uchrowi, Zaim;Tjitropranoto, Prabowo;Suyadi"
"Setiawan, Budi;Efendi, Tedi Mulyana"
"Hubeis, Aida Vitayala Sjafri;Sulistiawati, Asri;Trinitasari, Nindya"
"Manik, Henry M;Rafif, Akhdan"
"Purwangka, Fis;Gemilang, Achmad Tanm Makky"
"Basuni, Sambas;Haryanto;Pamungkas, Agam Ganjar"
"Pujiyati, Sri;Bendrianto"
"Desniar;Setyaningsih, Iriani;Balada"
"Arief, Irma Isnafia;Budiman, Cahyo;Prakasa, Aulia Avif"
"Rushayati, Siti Badriyah;Gunawan, Hendra;Fauziah, Citra Ariesta"
"Sumantri, Cece;Murtini, Sri;Rohyati, Titania Aurelia Nur"
"Istomo;Utami, Ariyani Pramudita"
"Santosa, Yanto;Mutmainnah, Andi Rezki"
"Simangunsong, Bintang CH;Boangmanalu, Asri Soviana"
"Santosa, Yanto;Aldi, Davit"
"Sunarminto, Tutut;Arief, Harnios;Saputra, Fandawa"
"Mubarik, Nisa Rachmania;Budiarti, Sri;Restyana, Erna Dista"
"Kusuma, Wisnu Ananta;Nugroho, Herdiyan Septa"
"Sitanggang, Imas Sukaesih;Ulubalang, David Tahi"
"Asfarian, Auzi;Fatullah, Mastur"
"Alamudi, Aam;Sadik, Kusman;Hastuti, Fitri Dwi"
"Sumertajaya, I Made;Sulvianti, Itasia Dina;Yulianti, Dwi"
"Sumertajaya, I Made;Akbar Rizki, Akbar;Safitri, Emeylia"
"Suharjo, Budi;Sumarno, Hadi;Nurjanah, Fitri"
"Alatas, Husin;Rustami, Erus;Salim, Fahmi"
"Anggraeni, Lukytawati;Fitrianasari, Erika Kartika"
"Fariyanti, Anna;Nadhifah, Fairuz"
"Suryawati, Rindah Febriana;Nurdana, Duhita Paramaramya Putri"
"Ermawati, Wita Juwita;Rahmawati, Diah Yasmin"
"Damanhuri, Didin S;Nugroho, Faris Ady"
"Suharno;Nuriana, Candra"
"Krisnamurthi, Bayu;Paradita, Dea"
"Siregar, Edward H;Ultaliyani, Garbella Rezky"
"Mulatsih, Sri;Mahawati, Zahrotu Fitriana"
"Krisnamurthi, Bayu;Hanum, Siti Syarifah"
"Hastuti;Mudaki, Ujang Abdul Hapid"
"Tinaprilla, Netti;Nadya, Ulfa Wara"
"Effendi, Jaenal;Virula, Shalma"
"Hartoyo, Sri;Azizah, Ulfa Hasna"
"Nuryartono, Nunung;Rahayu, Sheilla Lokanita"
"Siregar, Edward Halomoan;Oktaviani, Vania"
"Yasni, Sedarnawati;Syamsir, Elvira;Andarini, Faizah"
"Zairion;Wardiatno, Yusli;Kamal, Mohammad Mukhlis;Kembaren, Duranta Diandria"
"Nurrochmat, Dodik Ridho;Anwar, Syaiful;Yuniati, Dhany"
"Sumarno, Hadi;Sianturi, Paian;a Rahman, Gusti Arvian"
"Yasni, Sedarnawati;Yuliani, Sri;Habibah, Firstyarikha"
"Basuni, Sambas;Hidayat, Aceng;Ichtiarso, Joko Mulyo"
"Madduppa, Hawis;Nurjaya, I Wayan;Anzani, Luthfi"
"Suprihatin;Ismayana, Andes;Marisi, Dany Poltak"
"Avenzora, Ricky;Sunarminto, Tutut;Prabandari, Dyah"
"Bengen, Dietriech Geoffrey;Srimariana, Endang Sunarwati;Maulana, Muhammad Irfan"
"Agus, Samsul Bahri;Arhatin, Risti Endriani;Indrianto, Mohamad Aris Setiawan"
"Setyaningsih, Iriani;Sallamah, Ella;Anugerah, Rifki"
"Nahrowi;Ridla, Muhammad;Asfiandi, Ari"
"Despal;Apriantini, Astari;Saputra, Arif Wicaksono"
"Prihantoro, Iwan;Dewi, Panca;Anandia, Amina"
"Rukmiasih;Suryati, Tuti;Dina, Aulia"
"Madduppa, Hawis H;Evans, Lane Christopher;Purnamaningsi, Sunita Ayu"
"Perdinan;Yumahart, Azifa Nurrachma"
"Rachmaniah, Meuthia;Dwiyanto, Bagus Ali Mashar"
"Notodiputro, Khairil Anwar;Sartono, Bagus;Ghifari, Abdullah"
"Ramadhan, Dean Apriana;Nugroho, Arief Maulidy"
"Notodiputro, Khairil Anwar;Ghifari, Abdullah"
"Suparto, Irma Herawati;Kemala, Tetty;Abdurrasyid, Ahmad Fawwaz"
"Sumaryada, Tony Ibnu;Kartono, Agus;Sari, Anisah Rahajeng Kartika"
"Akbar, Auriza Rahmad;Pradana, Adhimas Luqman"
"Sari, Dina Lianita;Komalasari, Diah Indah"
"Sehabudin, Ujang;Rahmawati, Arum Suci"
"Istiqomah, Asti;Nabila, Asma"
"Putri, Eka Intan Kumala;Perkasaputra, Andhika"
"Widyastutik;Valiandra, Ariq"
"Maryono;Isiana, Dewi Asri"
"Suryawati, Rindah Febriana;Nuristy, Dini Fitriany"
"Rachmina, Dwi;Prehhantoro, Anggi Windra"
"Tinaprilla, Netti;Hartono, Dwi"
"Wresdiyati, Tutik;Astawan, Made;Anaf, Rahma Yelvi"
"Nisa', Chairun;Noviana, Deni;Yoandri, Rahmadhani"
"Hasanah, Heni;Rahayu, Nurlita Muji"
"Purwono, Rini Madyastuti;Hadi, Upik Kesumawati;Setiawan, Rio"
"Murtini, Sri;Winarsih, Wiwin;Pradana, Vinda Maulina Vona"
"Rifin, Amzul;Muctar, Muhammad Zainul Arifin"
"Maryono;Purnama, Nuriqsan Jaka"
"Sumantri, Cece;Rukmiasih;Gunawan, Asep;Suryati, Tuti;Anggraeni"
"Alfiasari;Zainuddin, Selinna Sandrinia"
"Kusharto, Clara Meliyanti;Anwar, Faisal;Nashuha, Yasya"
"Alfiasari;Zalukhu, Riska Ainun Wulandari"
"Ekayanti, Ikeu;Navratilova, Hana Fitria;Maulani, Resya"
"Saleh, Amiruddin;Hoesni, Teuku Mufadzal"
"Hastuti, Dwi;Aprilia, Savira"
"Hartoyo;Nuraisyah, Siti Jannah"
"Djamaludin, Moh Djemdjem;Lestari, Tri Ayu"
"Tinaprilla, Netti;Suprehatin;Hasriati"
"Arifiantini, Iis;Yusuf, Tuty Laswardi;Hasibuan, Hotmaidah"
"Suharno;Nurmalina, Rita;Zahra, Inas"
"Sukmawati, Anggraini;Muhammad, Syamsun;Khaerina, Hafizah"
"Baga, Lukman Mohammad;Jahroh, Siti;Ashilina, Hedita"
"Rahman, Dede Aulia;Wicaksono, Ardilasunu;Murbarani, Annisa Diva Putri"
"Herdiyeni, Yeni;Herliyana, Nina;Basri, Hasan"
"Hermawan, Rachmad;Setiawan, Yudi;Aminsyah, Annisaulhaq"
"Yuliasih, Indah;Darmawati, Emmy;Srimurni, Rafika Ratik"
"Astuti, Rika Indri;Meryandini, Anja;Sarima"
"Sitanggang, Imas Sukaesih;Syaufina, Lailan;Hendrawan, Satya Arisena"
"Ridwan, Yusuf;Cahyaningsih, Umi;Mustakdir, Zulfikri"
"Sudarwanto, Mirnawati B;Lukman, Denny Widaya;Sari, Rakhmi Ros"
"Hardinsyah;Karo-karo, Yufri Karelius"
"Ambarsari, Laksmi;Wahyudi, Setyanto Tri;Kurniasih, Rini"
"Herawati, Tin;Nindyasari, Yasmin"
"Purnomo, Eko Hari;Wulan, Endah Nur;Widarahayu, Suci Sang"
"Iskandar, Ade;Warsiki, Endang;Wibowo, Widodo Silo"
"Noor, Erliza;Prasetyo, Juvianto Dwi"
"Palupi, Nurheni Sri;Widianto, Rahmat"
"Sulistyaningsih, Yohana C.;Hadisunarso;Affifah, Nur"
"Fauzi, Anas Miftah;Defianisa, Ratu Ladisty"
"Putri, Yulvin Marhamah"
"Sugiarti, Sri;Khoerunnisa, Nur Azizah"
"Silalahi, Bib Paruhum;Aman, Amril;Mayyani, Hidayatul"
"Siregar, Vincentius;Bambang, Antonius;Nursugi"
"Priyono, Agus;Hernowo, Jarwadi Budi;Asahiro, Yuriko"
"Arifjaya, Nana Mulyana;Hapsari, Hapsah Nur"
"Muhdin;Putro, Yordan Gurino"
"Arifjaya, Nana Mulyana;Dwisilva, Faiz Septianda"
"Jaya, I Nengah Surati;Carolita, Ita;Ayuningdyah, Nur El"
"Komala, Iyep;Iskandar, Rudi Dedi;Rindayanti, Mentari Eka"
"Darusman, Dudung;Mandowali, Filipus Alpian"
"Salundik;Yani, Ahmad;Pratama, Muhammad Ibnu"
"Widarto, Tri Heru;Hasan, Akhmad Endang Zainal;Pamungkas, Reksa Putra"
"Hanif, Novriyandi;Mohamad, Kusdiantoro;Yuliansih, Putri"
"Bening, Sri"
"Guritman, Sugi;Aliatiningtyas, Nur;Kurnia, Rian"
"Rusdiana, Omo;Susanti, Pratiwi Dwi"
"Istomo;Santoso, Makmur"
"Astika, I Wayan;Lestari, Fitri Fuji"
"Prasetyo, Lilik Budi;Hikmat, Agus;Candra, Pradiana Roro Ayu"
"Wulandari, Arum Sekar;Satria, Riyandha Chandra"
"Adawiyah, Dede R;Hunaefi, Dase;Ramadhani, Amalia Shabrina"
"Syamsir, Elvira;Afifah, Hayah"
"Subrata, I Dewa Made;Wiraganda, Dhany Ilham"
"Afnan, Rudi;ENSD, Lucia Cyrilla;Rachimullah, Annisa"
"Tarigan, Suria Darma;Sitorus, Santun R.P.;Rachman, Latief M;Fitri, Rini"
"Setiawan, Radite P.A;Hermawan, Wawan;Mandang, Tineke;Azis S, Abdul"
"Zuhud, Ervizal AM;Santosa, Yanto;Anas, Iswandi;Sunkar, Arzyana;Erniwati"
"Andarwulan, Nuri;Fardiaz, Dedi;Purnomo, Eko Hari;Astuti, Santi Dwi"
"Poerwanto, Roedhy;Effendi, Darda;Agusta, Andia;Yuliani, Sri;Sumiasih, Inanpi Hidayati"
"Soekarno, Bonny Poernomo Wahyu;Tondok, Efi Toding;Maddu, Akhiruddin;Nurzannah, Sri Endah"
"Saefudin, Asep;Riani, Etty;Indriyanto, Bambang;Harahap, Tagor Alamsyah"
"Widanarni;Djokosetiyanto, Daniel;Subhan, Rio Yusufi"
"Suharno;Rifin, Amzul;Immanuel"
"Hidayat, Aceng;Ferdani, Oktavia Tirta"
"Sumarti, Titik;Amalia, Firzahana"
"Dewi, Farida Ratna;Riyanti, Aggi"
"Trisyulianti, Erlin;Mulya, Diki Akhwan"
"Sarianti, Tintin;Shabrina, Fitya"
"Siregar, Edward H.;Prizka, Raden Destyana Yunissa"
"Anggraeni, Lukytawati;Nawir, Nabiel Muhammad"
"Firdaus, Muhammad;Arishaldi, Garin Rizki"
"Setiawan, Budi;Palupi, Eny;Pranata, I Putu Balda Yogi"
"Sinaga, Tiurma;Utami, Kania Putri"
"Siwi, Mahmudi;Kamelia, Dina Syaila"
